KR Sentence,KR -> EN Translation
 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.,"If you are happy with second best, you will always find it.", x
 그의 직장은 집에서 엎드러지면 코 닿을 거리에 있었다.,His office was within cooee of home., x
 그녀는 그때의 처참한 광경을 보고 혀가 내둘렸다.,She saw the grisly sight with her own eyes., x
 마침내 취직에 성공한 나는 잔치날에 큰상 받은 기분만 같았다.,I finally got a job and felt like I had won the lottery, m
 비싼 돈 주고 형편없는 대접을 받은 손님은 화가 머리끝까지 나고야 말았다.,"The customer is always right, even when they're wrong.", x
 그렇게 젋은 목숨들이 한 줌 재가 되는 안타까운 사건이 있다.,A tragic event where young lives are cut short., m
 현장에서 불의의 사고를 직접 목격한 우리는 두 눈이 꿀단지 같아졌다.,We were stunned to witness the accident firsthand., m
 이 순간에도 우크라이나에서는 많은 젊은 남자들이 전장에서 한 줌의 재가 되고 있다.,Young Ukrainian men are dying on the battlefield right now., m
 겨우 일주일만에 돌아온 것인데도 삼대 구 년 만에 돌아온 기분이 들었다.,"After being away for just a week, I felt like I had been gone for three generations.", l
 맹렬한 그들의 공격에 우리는 무릎 꿇을 수 밖에 없었다.,Their fierce attack left us with no choice but to surrender., m
 너 어디 갔었냐? 삼대 구 년 만에 보는 것 같다?,Long time no see. Haven't seen you in three days two months., l
 이 식당에도 삼대 구 년 만에 온 것 같은데 여전히 옛날 맛 그대로네?,Feels like I haven't been here in 30 years but the food is still great, l
 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.,"If you are happy with second best, you will always find it.", x
 진정 능력있는 사람은 복잡한 일도 주먹으로 물 찧듯이 해내는 법이다.,A master can do it with his eyes closed., m
 신입의 개념없는 행동에 팀장님은 골 올라 소리쳤다.,The newbie made a fool of himself in front of the team lead., x
 취직에 성공해 잔치날에 큰상 받는 기분으로 출근하는 것도 그리 오래 가지는 않았다.,The thrill of a new job soon fades, m
 결국 반복된 지각을 들킨 선배는 제대로 혼뜨검 만나버렸다.,"In the end, the senior who kept making late arrivals was properly reprimanded.",m
 팀을 결승까지 올려놓고 결국 부상을 입은 그 선수는 팀이 준우승하는 것을 닭 쫓던 개 울타리 넘겨다보는 심정으로 지켜볼 수 밖에 없었다.,He led his team to the finals but could only watch helplessly as they lost in the end due to his injury., m
 그렇게 주인을 지키려 했던 충직한 개는 한 줌 재가 되어버렸다.,A loyal dog tried to save its owner but died in vain.,m
 그는 한 줌 재가 되어서도 사람들의 기억 속에 강하게 남았다.,Remembered by many for what he was., x
 급히 먹는 밥이 목이 멘다고 그렇게 서두르다가 사고치지 말고 천천히 해라.,Haste makes waste. Take your time and do it right., o
 단 0.5점 차이로 시험에 떨어진 나는 이를 갈며 1년을 더 공부해야 했다.,I failed by 0.5 and had to study for an extra year, x
 계속된 실수에 주눅든 막내는 뒤웅박 신고 얼음판에 선 것 같은 기분으로 일하기 시작했다.,The new intern keeps messing up and is now scared to do anything, m
 능력도 없이 덜컥 외제차를 샀다간 고슴되치 외 따 지는 수가 있다.,"You buy a foreign car because you like it,not because you have to.", x
 본인의 무능을 감추고자 부하들을 혼내고 닦달하기만 하는 상사에 질린 사람들은 쓸 줄 모르는 것이 책부터 나무란다며 그를 뒷담화했다.,A boss who yells at his employees just to hide his own incompetence will be the butt of office gossip., x
 걱정했던 것과 다르게 그 면접은 주먹으로 물 찧기였다.,Turned out the interview was a piece of cake., i
 사업 실패로 갚지 못할 빚을 잔뜩 진 그는 한 줌 재가 되는 길을 택했다.,He chose the path of utter ruin after racking up debts he could never repay., m
 그 소방관은 불 속에서 사람을 구하다 한 줌 재가 되어 우리들의 마음속에 묻혔습니다.,That firefighter will be remembered for saving lives in the line of duty., x
 머리 나쁘고 성격 안좋기로 꼬리표 붙은 것 치고는 직접 만나보니 괜찮은 사람이었다.,"Despite a bad reputation, they turned out to be okay in person.", m
 내 동생이 나보다 먼저 여친과 날 잡는 이야기를 하는 것을 보니 조금 씁쓸하네.,Seeing my sister get a boyfriend before me is cringey, x
 손주들의 정성들어간 선물을 받고 할아버지는 잔치날에 큰상 받은 기분을 느꼈다고 한다.,Grandpa said he felt like he had won the grand prize on prize day after receiving a gift from his grandchildren., l
 주장이 레드카드를 받은 그 날 엎친 데 덮친 격으로 에이스 선수가 부상을 당하며 그 팀은 탈락 위기를 맞았다.,The team was on the brink of elimination after their star player was injured and received a red card on the same day., x
 그 휴대폰의 신기능은 설명을 들어도 모르겠는게 외 얽고 벽 친 기분이었다.,The new features of that phone were features I didn't know  I wanted until I had them., x
 그 공연은 몹시 즐거웠고 관객들은 전부 입이 가로 터졌다.,The show was a great success and the audience loved it., m
 어차피 살 시간이 얼마 남지 않았는데 한 줌 재가 되기 전에 좋은 일을 많이 해야겠다.,Strike while the iron is hot., x
 매치포인트의 경기를 지켜보는 국민 모두가 뒤웅박 신고 얼음판에 선 것 같이 긴장하고 있었다.,The whole country was on tenterhooks watching the match point., m
 그가 정말 화난 모습을 보면 자연스럽게 간이 오그라들기 마련이다.,"When he is really angry, his hair stands on end naturally.", m
 우리 아버지는 검은 머리 파 뿌리 되도록 사시면서도 감기 한번 걸리는 일 없었다.,My dad never had a day's illness in his life, x
 그 부대는 지휘관을 잃자마자 손쉽게 무릎 꿇고 말았다.,The unit folded as soon as it lost command, x
 모두 가짜라는 것을 알고 있는데도 그 공포의 집에 들어간 순간 간이 오그라들었다.,"Even though I knew they were all fakes, I felt my stomach drop as I stepped into the house of horrors.", m
 가족을 먹여살리고자 밤낮 없이 일하다 불의의 사고로 한 줌 재가 되어버린 그가 남긴 자산을 그리 많지 않았다.,"He worked day and night to support his family, but an accident took his life and left him with little assets.", x
 우리가 매일 발 뻗고 잘 수 있는건 군인들의 노고가 있기 때문이다.,We sleep soundly because brave men stand ready to do violence on our behalf., x
 나는 오늘 당한 억울한 일 생각에 이가 갈려 잠을 설쳤다.,I couldn't sleep thinking about how unfairly I was treated today., x
 웬 밤이슬 맞는 놈이 내 자전거를 가져갔어!,Someone stole my bike in the dead of night!, x
 그 가족의 이야기는 모두의 눈뿌리를 뜨거워지게 하였다.,Their story touched the hearts of many., m
 그 경기장에서 일하면 돈도 벌면서 경기도 공짜로 보니 굿도 볼 겸 떡도 먹을 겸 아니겠어?,It is good to eat and watch the game for free while working there., m
 반칙까지 써가면서 경기를 했음에도 득점을 못하자 그들은 결국 무릎 꿇고 말았다.,"Despite their best efforts, they were unable to score a goal and eventually lost the game.", m
 그 교관님은 첫날부터 우리를 될 수 있는 대로 뛰게 만들었다.,That teacher made us run as much as possible on the first day.,m
 비리를 들킨 김 과장은 끝끝내 콩밥 맛을 보고야 말았다.,The corrupt mayor finally got what was coming to him., x
 복권이 당첨된 아저씨는 입이 가로 터져 소리 질렀다.,Lucky bastard must be popping corks, x
