Sentence,Label,Model_Prediction,ans
아이들에게 자전거 배우기는 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다.,
도서관은 우리 집에서 엎드러지면 코 닿을 데에 있어요.,엎드러지면 코 닿을 데,엎드러지면 코 닿을 데에 있어요
그의 깜짝 선물에 모두 혀가 내둘렸다.,혀가 내둘리다,혀 내둘리다
그는 상을 받아 잔치날에 큰상 받는 기분이었다.,잔치날에 큰상 받는 기분,잔치날에 큰상 받다
그는 친구의 배신에 화가 머리끝까지 났다.,화가 머리끝까지 나다,화가 머리끝까지 나다
수백 년 된 나무가 한 줌 재가 되었다.,한 줌 재가 되다,한 줌 재가 되다
그는 놀라운 광경에 두 눈이 꿀단지 같아졌다.,두 눈이 꿀단지 같다,두 눈이 꿀단지 같다
영화의 주인공이 한 줌 재가 되었다.,한 줌 재가 되다,한 줌 재가 되다
삼대 구 년 만에 고향을 찾았다.,삼대 구 년 만에,삼대 구 년 만에 고향을 찾았다.,x
그는 끝까지 무릎 꿇지 않았다.,무릎 꿇다,무릎 꿇다
그 가수가 삼대 구 년 만에 새 앨범을 발표했다.,삼대 구 년 만에,삼대 구 년 만에
우리는 삼대 구 년 만에 만나 즐겁게 대화했다.,삼대 구 년 만에,삼대 구 년 만에
이 문제는 그에게 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉬운 일이다.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,겉보리 돈 사기 수양딸로 며느리 삼기보다 쉬다.
이 요리는 주먹으로 물 찧기예요.,주먹으로 물 찧기,주먹으로 물 찧기
그는 골 올라 문을 쾅 닫았다.,골 오르다,골 올라 문을 쾅 닫다,x
그녀는 상을 받고 잔치날에 큰상 받는 기분이었다.,잔치날에 큰상 받는 기분,잔치날에 큰상 받다
그는 규칙을 어겨 혼뜨검 만났다.,혼뜨검 만나다,혼뜨검 만나다
우리의 기대는 닭 쫓던 개 울타리 넘겨다보듯 사라졌다.,닭 쫓던 개 울타리 넘겨다보듯,닭 쫓던 개 울타리 넘겨다보듯
전쟁에서 많은 이들이 한 줌 재가 되었다.,한 줌 재가 되다,한 줌 재가 되다
그는 마지막 여행에서 한 줌 재가 되었다.,한 줌 재가 되다,한 줌 재가 되다
급히 먹는 밥이 목이 멘다고 서두르지 마라.,급히 먹는 밥이 목이 멘다,급히 먹는 밥이 목이 멘다.
그는 실수로 인해 이 갈리고 있었다.,이 갈리다,이 갈리다
그녀는 불안한 소식에 뒤웅박 신고 얼음판에 선 것 같았다.,뒤웅박 신고 얼음판에 선 것 같다,얼음판에 서다,x
그는 고슴도치 외 따 지듯 빚을 졌다.,고슴도치 외 따 지듯,고슴도치 외 따 지듯 빚을 지다.,x
쓸 줄 모르는 것이 책부터 나무란다고 그의 불평은 이어졌다.,쓸 줄 모르는 것이 책부터 나무란다,쓸 줄 모르는 것이 책부터 나무란다.
소설의 주인공이 한 줌 재가 되었다.,한 줌 재가 되다,한 줌 재가 되다
그는 산에서 한 줌 재가 되었다.,한 줌 재가 되다,한 줌 재가 되다
그의 실수로 꼬리표가 붙었다.,꼬리표 붙다,꼬리표가 붙다
드디어 날 잡은 아들을 보니 기분이 좋다.,날 잡다,날 잡다
그는 성공하여 잔치날에 큰상 받는 기분이었다.,잔치날에 큰상 받는 기분,잔치날에 큰상 받다
문제가 해결되나 싶더니 엎친 데 덮쳤다.,엎친 데 덮치다,엎친 데 덮치다
외 얽고 벽친 친구들하고 말을 하려면 속이 터져서 견딜 수가 없거든.,외 얽고 벽 친다,속이 터져서 견디다,x
그는 나에게 선물을 받고 입이 가로 터졌다.,입이 가로 터지다,입이 가로 터지다
그분이 어제 한 줌 재가 되었다.,한 줌 재가 되다,한 줌 재가 되었다.
그는 걱정으로 뒤웅박 신고 얼음판에 선 기분이었다.,뒤웅박 신고 얼음판에 선 것 같다,뒤웅박 신고 얼음판에 서다
그녀는 발표를 앞두고 간이 오그라들었다.,간이 오그라들다,간이 오그라들다
그는 검은 머리 파 뿌리 되도록 건강하게 지냈다.,검은 머리 파 뿌리 되도록,검은 머리 파 뿌리 되다
그녀는 절대 무릎 꿇지 않았다.,무릎 꿇다,무릎 꿇다
그는 면접 때문에 간이 오그라들었다.,간이 오그라들다,간이 오그라들다
그는 한 줌 재가 되기 전에 많은 작품을 남겼다.,한 줌 재가 되다,한 줌 재가 되다
모든 일을 마치고 발 뻗고 잤다.,발 뻗고 자다,발 뻗고 자다
그는 부당함에 이 갈리고 있었다.,이 갈리다,이 갈리다
그 지역에 밤이슬 맞는 놈들이 있다니 조심해야겠다.,밤이슬 맞는 놈,밤이슬 맞다
그 이야기에 모두 눈뿌리가 뜨거워졌다.,눈뿌리가 뜨겁다,눈뿌리가 뜨거워지다
산책도 할 겸 운동도 할 겸 밖으로 나갔다.,굿도 볼 겸 떡도 먹을 겸,산책도 할 겸 운동도 할 겸 밖으로 나갔다.
우리는 포기하지 않고 무릎 꿇지 않을 것이다.,무릎 꿇다,무릎 꿇다
될 수 있는 대로 최선을 다했다.,될 수 있는 대로,할 수 있는 대로
그는 잘못으로 콩밥 맛을 보았다.,콩밥 맛을 보다,콩밥 맛 보다
그녀는 합격 소식에 입이 가로 터졌다.,입이 가로 터지다,입이 가로 터지다
